ID,Issue,Status,Priority,Date Submitted
TICKET-1099,Data backup failure,Open,High,07-10-2024
TICKET-1098,File server running out of storage space,Open,Medium,10-01-2024
TICKET-1097,Network connectivity issues in the office,Open,Medium,06-16-2024
TICKET-1092,Website performance degradation,Open,Medium,11-01-2024
TICKET-1090,Website performance degradation,Open,Low,10-04-2024
TICKET-1089,Employee unable to access shared files,Open,High,12-02-2024
TICKET-1088,Data backup failure,Open,High,08-01-2024
TICKET-1087,Network connectivity issues in the office,Open,Low,06-23-2024
TICKET-1081,Database connection failure,Open,High,07-04-2024
TICKET-1079,Mobile application not syncing data,Open,Low,08-22-2024
TICKET-1078,Network connectivity issues in the office,Open,Medium,10-21-2024
TICKET-1072,Hardware malfunction in the server room,Open,High,11-10-2024
TICKET-1071,VoIP phone system issues,Open,Low,10-26-2024
TICKET-1069,Inventory management system errors,Open,Medium,10-09-2024
TICKET-1064,Security vulnerability identified,Open,Low,08-10-2024
TICKET-1063,System updates causing compatibility issues,Open,High,08-11-2024
TICKET-1062,File server running out of storage space,Open,Medium,08-16-2024
TICKET-1059,Employee unable to access shared files,Open,Low,10-27-2024
TICKET-1058,Software application crashing on startup,Open,High,10-19-2024
TICKET-1057,Mobile application not syncing data,Open,High,07-03-2024
TICKET-1054,Employee unable to access shared files,Open,High,08-27-2024
TICKET-1047,Intrusion detection system alerts,Open,Medium,10-14-2024
TICKET-1046,VPN connection problems for remote employees,Open,Low,10-11-2024
TICKET-1044,System updates causing compatibility issues,Open,Medium,09-21-2024
TICKET-1037,Hardware malfunction in the server room,Open,Low,08-12-2024
TICKET-1036,Inventory management system errors,Open,High,12-16-2024
TICKET-1033,Inventory management system errors,Open,High,10-07-2024
TICKET-1030,Website performance degradation,Open,Low,09-26-2024
TICKET-1028,Data backup failure,Open,Low,06-11-2024
TICKET-1027,Printer not responding to print commands,Open,Medium,07-15-2024
TICKET-1023,System updates causing compatibility issues,Open,High,11-13-2024
TICKET-1018,Mobile application not syncing data,Open,Low,11-04-2024
